MCC;MNC;LAC_TAC;eNB_gNB;CI;ECI_NCI;CGI_ECGI_NCGI;PARAGON_ID;CELL_IDENTIFIER;TECNOLOGIA;BANDA;LATITUDE;LONGITUDE;AZIMUTE;NOME;MORADA;MORADA1;FREGUESIA;Concelho;Concelho_CD;Distrito;Distrito_CD;CP4;CP3;DESIGNACAO_POSTAL;DATA;DICOFRE;OPENING;RADIUS
268;02;10100;;46091;;268-02-10100-46091;268-02-10100-46091;;2;;40.600048;-8.675972;30;ILHAVO CENTRO;;;ILHAVO (SAO SALVADOR);ILHAVO;0110;AVEIRO;01;;;;09/02/2026;011008;55;9766
268;02;10100;;46092;;268-02-10100-46092;268-02-10100-46092;;2;;40.600048;-8.675972;145;ILHAVO CENTRO;;;ILHAVO (SAO SALVADOR);ILHAVO;0110;AVEIRO;01;;;;09/02/2026;011008;63;8707
268;02;10100;;46093;;268-02-10100-46093;268-02-10100-46093;;2;;40.600048;-8.675972;265;ILHAVO CENTRO;;;ILHAVO (SAO SALVADOR);ILHAVO;0110;AVEIRO;01;;;;09/02/2026;011008;63;8668
268;02;10100;;46841;;268-02-10100-46841;268-02-10100-46841;;2;;40.5471;-8.71823;40;ZI_DE_VAGOS_522U4;;;UNIAO DAS FREGUESIAS DE VAGOS E SANTO ANTONIO;VAGOS;0118;AVEIRO;01;;;;09/02/2026;011814;63;12772
268;02;10100;;46842;;268-02-10100-46842;268-02-10100-46842;;2;;40.5471;-8.71823;180;ZI_DE_VAGOS_522U4;;;UNIAO DAS FREGUESIAS DE VAGOS E SANTO ANTONIO;VAGOS;0118;AVEIRO;01;;;;09/02/2026;011814;55;13645
268;02;10100;;46843;;268-02-10100-46843;268-02-10100-46843;;2;;40.5471;-8.71823;320;ZI_DE_VAGOS_522U4;;;UNIAO DAS FREGUESIAS DE VAGOS E SANTO ANTONIO;VAGOS;0118;AVEIRO;01;;;;09/02/2026;011814;63;14000
268;02;10101;;36591;;268-02-10101-36591;268-02-10101-36591;;2;;40.697658;-8.340033;0;ZI CEDRIM-SEVER VOUGA;;;UNIAO DAS FREGUESIAS DE CEDRIM E PARADELA;SEVER DO VOUGA;0117;AVEIRO;01;;;;09/02/2026;011710;63;14000
268;02;10101;;36592;;268-02-10101-36592;268-02-10101-36592;;2;;40.697658;-8.340033;120;ZI CEDRIM-SEVER VOUGA;;;UNIAO DAS FREGUESIAS DE CEDRIM E PARADELA;SEVER DO VOUGA;0117;AVEIRO;01;;;;09/02/2026;011710;63;14000
268;02;10101;;36593;;268-02-10101-36593;268-02-10101-36593;;2;;40.697658;-8.340033;240;ZI CEDRIM-SEVER VOUGA;;;UNIAO DAS FREGUESIAS DE CEDRIM E PARADELA;SEVER DO VOUGA;0117;AVEIRO;01;;;;09/02/2026;011710;63;14000
268;02;10101;;821;;268-02-10101-821;268-02-10101-821;;2;;40.915438;-8.297789;0;AROUCA OESTE;;;URRO;AROUCA;0104;AVEIRO;01;;;;09/02/2026;010419;63;14000
