MCC,MNC,LAC_TAC,ENB_GNB,CI,ECI_NCI,CGI_ECGI_NCGI,PARAGON_ID,CELL_IDENTIFIER,TECNOLOGIA,BANDA,LATITUDE,LONGITUDE,AZIMUTE,NOME,MORADA,MORADA1,FREGUESIA,Concelho,Concelho_CD,Distrito,Distrito_CD,CP4,CP3,DESIGNACAO_POSTAL,DATA,DICOFRE
268,2,,102160,51,26153011,268-02-26153011,,,4,900,38.7859546,-9.2366804,0,A DA BEJA (1),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,102160,91,26153051,268-02-26153051,,,4,2600,38.7859546,-9.2366804,0,A DA BEJA (1),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,102160,181,26153141,268-02-26153141,,,4,1800,38.7859546,-9.2366804,0,A DA BEJA (1),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,502160,51,128553011,268-02-128553011,,,4,900,38.7859546,-9.2366804,0,A DA BEJA (1),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,502160,181,128553141,268-02-128553141,,,4,1800,38.7859546,-9.2366804,0,A DA BEJA (1),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,102160,52,26153012,268-02-26153012,,,4,900,38.7859546,-9.2366804,120,A DA BEJA (2),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,102160,92,26153052,268-02-26153052,,,4,2600,38.7859546,-9.2366804,120,A DA BEJA (2),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,102160,182,26153142,268-02-26153142,,,4,1800,38.7859546,-9.2366804,120,A DA BEJA (2),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,502160,52,128553012,268-02-128553012,,,4,900,38.7859546,-9.2366804,120,A DA BEJA (2),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,502160,182,128553142,268-02-128553142,,,4,1800,38.7859546,-9.2366804,120,A DA BEJA (2),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,102160,53,26153013,268-02-26153013,,,4,900,38.7859546,-9.2366804,240,A DA BEJA (3),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,102160,93,26153053,268-02-26153053,,,4,2600,38.7859546,-9.2366804,240,A DA BEJA (3),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,102160,183,26153143,268-02-26153143,,,4,1800,38.7859546,-9.2366804,240,A DA BEJA (3),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,502160,53,128553013,268-02-128553013,,,4,900,38.7859546,-9.2366804,240,A DA BEJA (3),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,502160,183,128553143,268-02-128553143,,,4,1800,38.7859546,-9.2366804,240,A DA BEJA (3),,,MINA DE AGUA,AMADORA,1115,LISBOA,11,,,,6/1/2025,111516
268,2,,101707,51,26037043,268-02-26037043,,,4,900,38.9733698,-9.1413187,0,A DOS ARCOS (1),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,101707,91,26037083,268-02-26037083,,,4,2600,38.9733698,-9.1413187,0,A DOS ARCOS (1),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,101707,181,26037173,268-02-26037173,,,4,1800,38.9733698,-9.1413187,0,A DOS ARCOS (1),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,501707,51,128437043,268-02-128437043,,,4,900,38.9733698,-9.1413187,0,A DOS ARCOS (1),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,501707,181,128437173,268-02-128437173,,,4,1800,38.9733698,-9.1413187,0,A DOS ARCOS (1),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,101707,52,26037044,268-02-26037044,,,4,900,38.9733698,-9.1413187,120,A DOS ARCOS (2),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,101707,92,26037084,268-02-26037084,,,4,2600,38.9733698,-9.1413187,120,A DOS ARCOS (2),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,101707,182,26037174,268-02-26037174,,,4,1800,38.9733698,-9.1413187,120,A DOS ARCOS (2),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,501707,52,128437044,268-02-128437044,,,4,900,38.9733698,-9.1413187,120,A DOS ARCOS (2),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,501707,182,128437174,268-02-128437174,,,4,1800,38.9733698,-9.1413187,120,A DOS ARCOS (2),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,101707,53,26037045,268-02-26037045,,,4,900,38.9733698,-9.1413187,240,A DOS ARCOS (3),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,101707,93,26037085,268-02-26037085,,,4,2600,38.9733698,-9.1413187,240,A DOS ARCOS (3),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,101707,183,26037175,268-02-26037175,,,4,1800,38.9733698,-9.1413187,240,A DOS ARCOS (3),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,501707,53,128437045,268-02-128437045,,,4,900,38.9733698,-9.1413187,240,A DOS ARCOS (3),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,501707,183,128437175,268-02-128437175,,,4,1800,38.9733698,-9.1413187,240,A DOS ARCOS (3),,,ARRANHO,ARRUDA DOS VINHOS,1102,LISBOA,11,,,,6/1/2025,110201
268,2,,101710,51,26037811,268-02-26037811,,,4,900,38.948234,-9.0112647,0,A DOS BISPOS (1),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
