CGI_ECGI_NCGI;eNB_gNB;CI
268-06-8710-6677;;6677
268-06-8710-6678;;6678
268-06-8710-2772;;2772
268-06-8710-2773;;2773
268-06-8710-2848;;2848
268-06-8710-3961;;3961
268-06-8710-3962;;3962
268-06-8710-3963;;3963
268-06-8700-2760;;2760
268-06-8700-2761;;2761
268-06-8700-2762;;2762
268-06-8700-21152;;21152
268-06-8700-21153;;21153
268-06-8700-21154;;21154
268-06-8710-26159;;26159
268-06-8710-26160;;26160
268-06-8710-26161;;26161
268-06-8710-21788;;21788
268-06-8710-21789;;21789
268-06-8710-21790;;21790
268-06-8700-8746;;8746
268-06-8700-8747;;8747
268-06-8700-8748;;8748
268-06-8700-4045;;4045
268-06-8700-4046;;4046
268-06-8700-4047;;4047
268-06-8710-2763;;2763
268-06-8710-2764;;2764
268-06-8710-2765;;2765
268-06-8710-1799;;1799
268-06-8700-1785;;1785
268-06-8700-5742;;5742
268-06-8700-5743;;5743
268-06-8700-5744;;5744
268-06-8710-27032;;27032
268-06-8710-27033;;27033
268-06-8710-27034;;27034
268-06-8700-3680;;3680
268-06-8700-22125;;22125
268-06-8700-22126;;22126
268-06-8700-22127;;22127
268-06-8700-21199;;21199
268-06-8700-21200;;21200
268-06-8700-21201;;21201
268-06-8700-26702;;26702
268-06-8700-26703;;26703
268-06-8700-26704;;26704
268-06-8700-4730;;4730
268-06-8700-4743;;4743
268-06-8700-4744;;4744
268-06-8700-22015;;22015
268-06-8700-22016;;22016
268-06-8700-22017;;22017
268-06-8700-22161;;22161
268-06-8700-22162;;22162
268-06-8700-22163;;22163
268-06-8700-4253;;4253
268-06-8700-4943;;4943
268-06-8700-4944;;4944
268-06-8700-4945;;4945
268-06-8700-22115;;22115
268-06-8700-22116;;22116
268-06-8700-22117;;22117
268-06-8700-21411;;21411
268-06-8700-21412;;21412
268-06-8700-22118;;22118
268-06-8700-21806;;21806
268-06-8700-21807;;21807
268-06-8700-21808;;21808
268-06-8700-22412;;22412
268-06-8700-22129;;22129
268-06-8700-22130;;22130
268-06-8700-22131;;22131
268-06-8700-22071;;22071
268-06-8700-22072;;22072
268-06-8700-26744;;26744
268-06-8700-26745;;26745
268-06-8700-26746;;26746
268-06-8700-2739;;2739
268-06-8700-2740;;2740
268-06-8700-2741;;2741
268-06-8700-2220;;2220
268-06-8700-2221;;2221
268-06-8700-2222;;2222
268-06-8700-7226;;7226
268-06-8700-7227;;7227
268-06-8700-7228;;7228
268-06-8700-21132;;21132
268-06-8700-21133;;21133
268-06-8700-21029;;21029
268-06-8700-10031;;10031
268-06-8700-10032;;10032
268-06-8700-10033;;10033
268-06-8700-21197;;21197
268-06-8700-21198;;21198
268-06-8700-6399;;6399
268-06-8700-6500;;6500
268-06-8700-6501;;6501
268-06-8700-26810;;26810
268-06-8700-22068;;22068
268-06-8700-22069;;22069
268-06-8700-22070;;22070
268-06-8710-3635;;3635
268-06-8710-3636;;3636
268-06-8710-3637;;3637
268-06-8710-3638;;3638
268-06-8710-2785;;2785
268-06-8710-2786;;2786
268-06-8710-2787;;2787
268-06-8710-26736;;26736
268-06-8710-26737;;26737
268-06-8710-26738;;26738
